"Stkcd","B001101000","Accper"
"603899","1133433054.53","2016-03-31"
"002695","297062935.96","2016-03-31"
"002511","854090752.85","2016-03-31"
"002557","860855341.43","2016-03-31"
"603866","662040344.40","2016-03-31"
"600872","744203573.06","2016-03-31"
"002557","1655847883.34","2016-06-30"
"002511","1771552660.77","2016-06-30"
"600872","1490269461.06","2016-06-30"
"603899","2179551131.29","2016-06-30"
"603866","1459698895.48","2016-06-30"
"002695","662636681.73","2016-06-30"
"603899","3452350475.53","2016-09-30"
"002557","2532158022.17","2016-09-30"
"002511","2740959078.00","2016-09-30"
"603866","2377194300.59","2016-09-30"
"002695","950361838.24","2016-09-30"
"600872","2296102937.77","2016-09-30"
"002695","1151074787.93","2016-01-01"
"002695","1217821558.54","2016-12-31"
"603899","3749112471.64","2016-01-01"
"603899","4662465783.91","2016-12-31"
"603866","2563330459.14","2016-01-01"
"603866","3305480010.00","2016-12-31"
"002557","3311372569.86","2016-01-01"
"002557","3513011838.49","2016-12-31"
"002511","2958976614.00","2016-01-01"
"002511","3809349072.13","2016-12-31"
"002511","1032246698.85","2017-03-31"
"600872","2758585298.86","2016-01-01"
"600872","3157988862.51","2016-12-31"
"600872","974197026.86","2017-03-31"
"603899","1412887390.59","2017-03-31"
"002695","336220837.30","2017-03-31"
"002557","799497081.98","2017-03-31"
"603866","820164696.08","2017-03-31"
"002557","1600144160.31","2017-06-30"
"002511","2123216428.96","2017-06-30"
"603899","2785408071.06","2017-06-30"
"002695","757522258.56","2017-06-30"
"603866","1815759674.48","2017-06-30"
"600872","1804226822.82","2017-06-30"
"603899","4492999748.30","2017-09-30"
"002695","1132863657.17","2017-09-30"
"603866","2955324232.73","2017-09-30"
"600872","2728665535.90","2017-09-30"
"002557","2509962785.95","2017-09-30"
"002511","3352133786.61","2017-09-30"
"603899","4662465783.91","2017-01-01"
"603899","6357102964.25","2017-12-31"
"002695","1217821558.54","2017-01-01"
"002695","1477780160.44","2017-12-31"
"603866","3305480010.00","2017-01-01"
"603866","4079709861.92","2017-12-31"
"002511","3809349072.13","2017-01-01"
"002511","4638349590.23","2017-12-31"
"603899","1840309548.13","2018-03-31"
"002557","3513011838.49","2017-01-01"
"002557","3602738165.48","2017-12-31"
"600872","3157988862.51","2017-01-01"
"600872","3609371700.99","2017-12-31"
"600872","1153599668.70","2018-03-31"
"002557","1026891081.61","2018-03-31"
"603866","988899071.86","2018-03-31"
"002511","1224790878.97","2018-03-31"
"002695","414858723.95","2018-03-31"
"002511","2586062097.15","2018-06-30"
"002557","1874429650.26","2018-06-30"
"603899","3786631947.71","2018-06-30"
"603866","2166657075.00","2018-06-30"
"600872","2174000422.59","2018-06-30"
"002695","1032781229.77","2018-06-30"
"603866","3524423220.31","2018-09-30"
"002695","1455072897.90","2018-09-30"
"603899","6123592570.19","2018-09-30"
"002511","4080983764.87","2018-09-30"
"002557","2909624990.12","2018-09-30"
"600872","3164505966.99","2018-09-30"
"603866","4079709861.92","2018-01-01"
"603866","4833227645.58","2018-12-31"
"603899","6357102964.25","2018-01-01"
"603899","8534988597.55","2018-12-31"
"002695","1477780160.44","2018-01-01"
"002695","1897578656.46","2018-12-31"
"600872","3609371700.99","2018-01-01"
"600872","4166464950.31","2018-12-31"
"002557","3602738165.48","2018-01-01"
"002557","4197045559.14","2018-12-31"
"002511","4638349590.23","2018-01-01"
"002511","5678517623.29","2018-12-31"
"002511","1540517206.36","2019-03-31"
"002695","499315913.40","2019-03-31"
"002557","1039852311.99","2019-03-31"
"600872","1231103067.39","2019-03-31"
"603899","2355613820.98","2019-03-31"
"603866","1142347222.47","2019-03-31"
"002511","3172389026.96","2019-06-30"
"002557","1987228161.74","2019-06-30"
"002695","1168620541.03","2019-06-30"
"002956","445047531.11","2019-06-30"
"600872","2392154186.39","2019-06-30"
"603899","4838623016.89","2019-06-30"
"603866","2557900566.94","2019-06-30"
"300783","4511407875.01","2019-06-30"
"002557","3219175234.92","2019-09-30"
"002695","1677464717.94","2019-09-30"
"002511","4819879798.90","2019-09-30"
"603899","7947344462.67","2019-09-30"
"002956","687410746.86","2019-09-30"
"002959","1720792176.02","2019-09-30"
"603866","4121747833.02","2019-09-30"
"300783","6714643314.62","2019-09-30"
"600872","3530582085.17","2019-09-30"
"002695","1897578656.46","2019-01-01"
"002695","2116915652.97","2019-12-31"
"600872","4166464950.31","2019-01-01"
"600872","4674844437.35","2019-12-31"
"002557","4197045559.14","2019-01-01"
"002557","4837252294.43","2019-12-31"
"603899","8534988597.55","2019-01-01"
"603899","11141101364.44","2019-12-31"
"603866","4833227645.58","2019-01-01"
"603866","5643709759.53","2019-12-31"
"603866","1322683426.00","2020-03-31"
"002557","1146880534.79","2020-03-31"
"603719","6377558563.11","2019-01-01"
"603719","7714992860.91","2019-12-31"
"603719","1908931177.93","2020-03-31"
"603899","2083587295.14","2020-03-31"
"002695","540658855.66","2020-03-31"
"002959","2041035066.39","2019-01-01"
"002959","2687963985.41","2019-12-31"
"002959","739588278.04","2020-03-31"
"002511","1670909073.75","2020-03-31"
"002511","5678517623.29","2019-01-01"
"002511","6634914352.68","2019-12-31"
"600872","1153354570.47","2020-03-31"
"002695","1364636086.06","2020-06-30"
"002557","2294482909.95","2020-06-30"
"002511","3616201399.80","2020-06-30"
"603866","2738880462.33","2020-06-30"
"600872","2554392490.86","2020-06-30"
"300783","5252014479.38","2020-06-30"
"603899","4761423672.29","2020-06-30"
"300783","7001167045.39","2019-01-01"
"300783","10173017103.20","2019-12-31"
"300783","3412415939.46","2020-03-31"
"002959","1717429151.57","2020-06-30"
"002956","435812860.32","2020-06-30"
"603719","3610310717.20","2020-06-30"
"002956","189582824.36","2020-03-31"
"002956","850853175.05","2019-01-01"
"002956","972778161.05","2019-12-31"
